#module;#attribute
IUP::PPlot;TITLEFONTSIZE
IUP::PPlot;TITLEFONTSTYLE
IUP::ProgressBar;BGCOLOR
IUP::ProgressBar;DASHED
IUP::ProgressBar;FGCOLOR
IUP::ProgressBar;MARQUEE
IUP::ProgressBar;MAX
IUP::ProgressBar;MIN
IUP::ProgressBar;ORIENTATION
IUP::ProgressBar;VALUE
IUP::Radio;CLIENTOFFSET
IUP::Radio;CLIENTSIZE
IUP::Radio;VALUE
IUP::Radio;VALUE_HANDLE
IUP::Sbox;CLIENTOFFSET
IUP::Sbox;CLIENTSIZE
IUP::Sbox;COLOR
IUP::Sbox;DIRECTION
IUP::Spinbox;CLIENTOFFSET
IUP::Spinbox;CLIENTSIZE
IUP::Split;AUTOHIDE
IUP::Split;BARSIZE
IUP::Split;CLIENTOFFSET
IUP::Split;CLIENTSIZE
IUP::Split;COLOR
IUP::Split;DIRECTION
IUP::Split;LAYOUTDRAG
IUP::Split;MINMAX
IUP::Split;ORIENTATION
IUP::Split;SHOWGRIP
IUP::Split;VALUE
IUP::Submenu;IMAGE
IUP::Submenu;KEY
IUP::Submenu;TITLE
IUP::Tabs;ALIGNMENT
IUP::Tabs;BACKGROUND
IUP::Tabs;BGCOLOR
IUP::Tabs;CLIENTOFFSET
IUP::Tabs;CLIENTSIZE
IUP::Tabs;COUNT
IUP::Tabs;FGCOLOR
IUP::Tabs;FLAT_ALPHA
IUP::Tabs;FONT_ACTIVE
IUP::Tabs;FONT_INACTIVE
IUP::Tabs;MULTILINE
IUP::Tabs;PADDING
IUP::Tabs;REPAINT
IUP::Tabs;TABIMAG
IUP::Tabs;TABIMAGE
IUP::Tabs;TABORIENTATION
IUP::Tabs;TABSIZE
IUP::Tabs;TABTITL
IUP::Tabs;TABTITLE
IUP::Tabs;TABTYPE
IUP::Tabs;VALUE
IUP::Tabs;VALUEPOS
IUP::Tabs;VALUE_HANDLE
IUP::Text;ADDFORMATTAG
IUP::Text;ADDFORMATTAG_HANDLE
IUP::Text;ALIGNMENT
IUP::Text;APPEND
IUP::Text;APPENDNEWLINE
IUP::Text;AUTOREDRAW
IUP::Text;BGCOLOR
IUP::Text;BORDER
IUP::Text;CARET
IUP::Text;CARETPOS
IUP::Text;CLIPBOARD
IUP::Text;CUEBANNER
IUP::Text;DRAGDROP
IUP::Text;FGCOLOR
IUP::Text;FILTER
IUP::Text;FORMATTING
IUP::Text;INSERT
IUP::Text;MASK
